real_x,real_y,real_yaw,cluster_x,cluster_y,cluster_yaw,densest_x,densest_y,densest_yaw,std_x,std_y,std_yaw
-1504.7984521624905,676.3857448879987,0.04063911843397072,-1489.786547768462,722.9411153741776,6.272479497960126,-1493.153886907506,722.8273281375277,6.281998088869666,240.11151780094846,214.20739173672126,94.49155391127168
-1503.5162411467606,739.3438846094416,0.05349437781509181,-1489.1685467090322,782.2823311467293,6.271757878049523,-1492.8227870205978,782.7244027927973,6.281248487613787,261.31889980676823,222.3339016419117,91.72771379369124
-1501.9184850661798,802.982026135787,0.037046408394076025,-1488.3249842185792,843.0701532524538,6.27098906095548,-1492.4006973142473,842.9791406299646,6.280833534034056,278.64013556296686,231.7342635860434,92.36370598108478
-1500.0841301931869,864.3030967439998,0.026984929702195792,-1487.1820821387198,903.5673285215892,6.2704084840386916,-1491.989170305157,902.9898917856208,6.2804797235987255,301.60154452642354,239.9470454847523,91.50021156627989
-1497.2180761346458,925.8604430694536,0.01908461135371109,-1486.5399443307065,963.1096500032136,6.270062265747071,-1491.376383099628,963.1274515877703,6.279598830097218,315.364636523715,247.87003387398892,88.87083842792711
-1494.2734837556075,986.6704316745733,0.016881902453562248,-1485.5912790146883,1023.72959038361,6.269278027951194,-1490.1403798937492,1022.6377832648304,6.277773153003897,320.3064533971165,254.60584141844137,83.3693381114997
-1490.9235903149497,1051.5078250754639,0.1284514119440523,-1484.003702687671,1083.5523037466367,6.267929473511441,-1488.953101839707,1082.8046263839333,6.276978280925591,332.3965228841537,261.5389111747785,83.8350745600927
-1487.5477473327298,1112.7608404469029,0.1364268727602429,-1483.136241343785,1143.290427176058,6.267915010771369,-1487.7700779165573,1142.6353869166687,6.27630799244276,352.39961939586857,269.19503686155986,80.23534941825604
-1484.2243500560185,1173.9003802260763,0.13888843001167572,-1482.362597994135,1210.6558217165311,6.267790021262928,-1486.353509599519,1202.450601846017,6.2749597154445365,371.8034815496905,278.98294669257984,77.7376579382144
-1480.9036958867453,1235.026315387717,0.13559407355364428,-1480.4717864173995,1263.3024906024093,6.266198279406602,-1485.299637770214,1262.6171221806762,6.274258668187688,394.16531443143435,283.6741329052882,75.93613689796996
-1477.5849343555533,1296.176276838987,0.1388921006376833,-1478.979777898024,1323.447222594371,6.265523344886004,-1483.7216073039112,1322.3531460315253,6.2730749915495165,413.78178930429453,289.9407621241921,73.29192447142077
-1474.2702444993506,1357.3031266975788,0.1356837258465271,-1477.1918653156513,1380.8276224772517,6.264451702653251,-1482.407008394964,1382.2253481431017,6.272128683570248,435.19582538709807,292.34109908610696,71.10978479009805
-1470.9575386041433,1418.4535116107766,0.1389825921195582,-1475.8757931365772,1443.0548720218148,6.263683042125507,-1480.995261011776,1442.1293398259786,6.271346655333104,463.41277275647207,303.3512425942073,71.92281917842338
-1467.648802199569,1479.5808141924142,0.13575678728856744,-1474.658814951231,1502.4798206435048,6.26247006714282,-1478.8571081244268,1501.5373711320053,6.26956592329556,478.1115363042869,318.01789115104685,68.55429889608436
-1464.3479265874964,1540.735278707154,0.13837351030156064,-1472.8175781352334,1561.998591687373,6.262243809145012,-1476.888654395204,1561.4550415689346,6.268352000603364,496.33855315089573,320.8570495807173,64.10758530534044
